sample	type	UAR	Z
N716	N	8.350626102	0.713143374
N717	N	8.374523187	0.263707097
N718	N	8.368917837	0.67908613
N719	N	8.349308125	0.253998581
N720	N	8.313637808	-1.136003464
N721	N	8.347404186	0.673294857
N722	N	8.346523155	0.8711987
N723	N	8.361923418	0.140124167
N724	N	8.361408091	0.697882784
N725	N	8.336925639	-0.02323751
N726	N	8.327165766	0.242372976
N727	N	8.365386961	0.912320791
N728	N	8.344772551	0.49380289
N729	N	8.374965551	-0.112801636
N730	N	8.31072423	-0.855789787
N731	N	8.346494919	0.415524633
N732	N	8.337920309	0.012197581
N733	N	8.338578001	0.04629412
N734	N	8.348373536	0.443064196
N735	N	8.347295113	0.09531045
N736	N	8.363518941	1.274574103
N737	N	8.337848438	0.0
N738	N	8.389367235	1.079664862
N739	N	8.351402801	0.725755293
N740	N	8.373046699	1.173993451
N741	N	8.388894947	1.113230223
N742	N	8.39598673	0.70954326
N743	N	8.348432334	0.154933484
N744	N	8.383400796	0.930859746
N745	N	8.354532737	0.270129997
N746	N	8.36475278	0.466217229
N747	N	8.334250699	0.0
N748	N	8.36518516	0.854813302
N749	N	8.351044401	0.171224184
N750	N	8.368121107	0.35366413
N751	N	8.385380394	1.168747977
N752	N	8.37666033	1.437626058
N753	N	8.367376162	0.976740104
N754	N	8.348496101	0.713651014
N755	N	8.356411168	0.738035639
N756	N	8.384918823	0.921676854
N757	N	8.368651308	0.289453358
N758	N	8.363529125	1.215796453
N759	N	8.357358481	0.976244557
N760	N	8.353390091	0.344812865
N761	N	8.333817576	0.0
N762	N	8.345848562	0.0
N763	N	8.364899654	0.568761973
N764	N	8.362684531	0.547834227
N765	N	8.35981648	0.25506003
N766	N	8.391964571	0.671332445
N767	N	8.338578048	0.267907598
N768	N	8.30533585	-0.311149705
N769	N	8.326541053	-0.009854306
N770	N	8.352575949	0.354161698
N771	N	8.347079122	0.0
N772	N	8.359653684	0.146603792
N773	N	8.359953121	0.626594595
N774	N	8.336875358	0.0
N775	N	8.331925708	-0.36941572
N776	N	8.396821055	1.030435059
N777	N	8.362550976	0.617555159
N778	N	8.340108193	0.179786665
N779	N	8.331358489	0.343041883
N780	N	8.362398492	0.062666275
N781	N	8.353713791	0.386708099
N782	N	8.390113259	1.23956064
N783	N	8.33509629	0.236487151
N784	N	8.375858209	0.727036108
N785	N	8.366522801	0.613635863
N786	N	8.342987564	0.284945283
N787	N	8.338831453	0.337167947
N788	N	8.326838903	0.292217252
N789	N	8.341005819	1.157098505
N790	N	8.340493481	0.493924139
N791	N	8.352728425	0.419238202
N792	N	8.392626414	1.615276032
N793	N	8.364732	0.99715262
N794	N	8.389206339	0.99166365
N795	N	8.370741222	0.877831651
N796	N	8.362879952	0.690885137
N797	N	8.355804595	0.611793921
N798	N	8.34137172	0.34946155
N799	N	8.344490621	0.735311842
N800	N	8.368453698	0.715663391
N801	N	8.334777802	0.577938869
N802	N	8.353072646	0.551630829
N803	N	8.366303798	0.663378926
N804	N	8.366048712	0.528985221
N805	N	8.356517858	0.831361935
N806	N	8.414752905	1.985510008
N807	N	8.352929084	0.526742814
N808	N	8.375404396	0.50891089
N809	N	8.377125861	0.770559205
N810	N	8.369316298	0.662277861
N811	N	8.354121488	0.0
N812	N	8.379802837	1.067054494
N813	N	8.361623006	0.755904213
N814	N	8.34350434	-0.012158111
N815	N	8.366791389	1.047158726
N816	N	8.346821519	0.103456375
N817	N	8.413444528	1.564265441
N818	N	8.384004342	0.43487859
N819	N	8.337414065	0.541635651
N820	N	8.396937413	1.949894305
