Sample	type	UAR	Z
N3154	XX	5.287940121	-2.158446598
N3155	XX	5.323500712	-0.700636994
N3156	XX	5.39902449	-0.000257731
N3157	XX	5.142218114	-4.105965087
N3158	XX	5.323838971	-1.176779715
N3159	XX	5.240526752	-1.816245861
N3160	XX	5.337654129	-0.442021836
N3161	XX	5.108166352	-5.210826804
N3162	XX	5.370286285	-0.416594762
N3163	XX	5.227007903	-1.768096014
N3164	XX	5.164531583	-1.984880303
N3165	XX	5.377567895	-0.268453292
N3166	XX	5.248461606	-1.279815497
N3167	XX	5.338948654	-1.005652678
N3168	XX	5.121208807	-3.158734891
N3169	XX	5.385928142	0.78917388
N3170	XX	5.363537207	-0.593906459
N3171	XX	5.378329873	-0.046431304
N3172	XX	5.179556803	-4.409362801
N3173	XX	5.228343813	-2.906348112
N3174	XX	5.408858521	-0.191229425
N3175	XX	5.307696285	-1.025113551
N3176	XX	5.322531435	-1.397726128
N3177	XX	4.947893093	-8.10995442
N3178	XX	5.16556871	-4.329405888
N3179	XX	5.342070405	-0.980025649
N3180	XX	5.286892377	-2.410242988
N3181	XX	5.426850676	-0.745137957
N3182	XX	5.372630243	-1.015280293
N3183	XX	5.200806167	-3.404399825
N3184	XX	5.457626773	1.092318051
N3185	XX	5.458991954	0.483935054
N3186	XX	5.39463328	-0.185388144
N3187	XX	5.390011642	0.24887861
N3188	XX	5.442211277	0.151829309
N3189	XX	5.375536525	-1.202771404
N3190	XX	5.319710783	-2.378254299
N3191	XX	5.334857235	-0.686092486
N3192	XX	5.299348139	-0.728260812
N3193	XX	5.125510794	-1.852014039
N3194	XX	5.183278576	-3.465334293
N3195	XX	5.253425486	-1.547318216
N3196	XX	5.372222543	-0.831770391
N3197	XX	5.20474049	-4.520903139
N3198	XX	5.179331408	-1.651900782
N3199	XX	5.436145388	0.126326353
N3200	XX	5.394963244	0.416831949
N3201	XX	5.31042185	-1.760447103
N3202	XX	5.426014257	0.180323316
N3203	XX	5.369938304	-0.084927986
N3204	XX	5.339345337	-0.405609716
N3205	XX	5.39748967	-1.020327305
N3206	XX	5.453319713	0.922907841
N3207	XX	5.422983905	-1.142922437
N3208	XX	5.187824099	-7.665380578
N3209	XX	5.4921986	0.927874587
N3210	XX	5.382513362	-0.651921235
N3211	XX	5.403739401	-0.335183651
N3212	XX	5.388822571	-0.121847335
N3213	XX	5.425006413	0.048353376
N3214	XX	5.30920627	-1.12483083
N3215	XX	5.281057256	-0.854981525
N3216	XX	5.342386948	-1.237562008
N3217	XX	5.087584252	-4.001643839
N3218	XX	5.298634532	-1.455664263
N3219	XX	5.241590515	-3.709649132
N3220	XX	5.343909734	-1.032690516
N3221	XX	5.39379763	-0.361145025
N3222	XX	5.332344747	-1.710142838
N3223	XX	5.271990992	-1.900986457
N3224	XX	5.104500578	-4.661702658
N3225	XX	5.413634697	0.443614241
N3226	XX	5.41534231	0.314165589
N3227	XX	5.417468284	-0.271361424
N3228	XX	5.391115682	-0.635010304
N3229	XX	5.369647964	-0.495497398
N3230	XX	5.278459206	-1.864919386
N3231	XX	5.337041819	-1.164644738
N3232	XX	5.316043067	-0.603845886
N3233	XX	5.413136355	0.342052651
N3234	XX	5.296291327	-0.468331709
N3235	XX	5.417226766	0.024905723
N3236	XX	5.241645241	-1.715251164
N3237	XX	5.319351006	-0.327226025
N3238	XX	4.92707193	-5.124532754
N3239	XX	5.241894273	-2.518199025
N3240	XX	5.37022298	-0.576312849
N3241	XX	5.383498651	0.026141383
N3242	XX	5.391374028	-0.52987745
N3243	XX	5.216725526	-3.251265954
N3244	XX	5.394456855	-1.27451915
N3245	XX	5.385826434	0.520490829
N3246	XX	5.333698235	-0.736748485
N3247	XX	5.426071679	0.647669714
N3248	XX	5.15446074	-3.028573508
