Sample	type	UAR	Z
N568	XX	5.279376067	-2.592803038
N569	XX	5.285554314	-2.323727468
N570	XX	5.262840263	-2.601081315
N571	XX	5.222513511	-4.883748295
N572	XX	5.238223419	-4.745579148
N573	XX	5.237125658	-3.917546224
N574	XX	5.269122611	-3.432833085
N575	XX	5.256666525	-3.068305602
N576	XX	5.25084362	-3.700879958
N577	XX	5.233681388	-3.121377023
N578	XX	5.245333738	-5.253831087
N579	XX	5.229401115	-3.600547708
N580	XX	5.241819711	-2.943264125
N581	XX	5.41159713	0.518562011
N582	XX	5.253756414	-2.828618678
N583	XX	5.289669478	-2.812110366
N584	XX	5.2846248	-1.635422722
N585	XX	5.232776287	-4.02183036
N586	XX	5.226166099	-3.654680885
N587	XX	5.216101807	-4.470169348
N588	XX	5.232751258	-4.164278737
N589	XX	5.302184725	-2.353785871
N590	XX	5.285122381	-3.165407377
N591	XX	5.242586787	-4.564340975
N592	XX	5.23825675	-2.415840061
N593	XX	5.244755652	-3.513605235
N594	XX	5.24307874	-3.286339606
N595	XX	5.238842217	-2.98706807
N596	XX	5.276358486	-2.984406385
N597	XX	5.19676383	-3.489622353
N598	XX	5.257207664	-3.173275111
N599	XX	5.196944208	-3.961857194
N600	XX	5.271344301	-1.94448597
N601	XX	5.20191521	-3.603106298
N602	XX	5.239301862	-4.346553271
N603	XX	5.261146138	-2.227657228
N604	XX	5.233291661	-4.373143158
N605	XX	5.178956213	-3.978955024
N606	XX	5.194145675	-3.637429832
N607	XX	5.145345836	-5.970770495
N608	XX	5.216001017	-3.576285914
N609	XX	5.196109807	-3.755151086
N610	XX	5.192931595	-4.194901384
N611	XX	5.231451135	-2.53568099
N612	XX	5.209535836	-5.27105643
N613	XX	5.258696904	-3.240999174
N614	XX	5.27542022	-3.221326331
N615	XX	5.25725378	-3.372127871
N616	XX	5.298818406	-2.455038665
N617	XX	5.244649015	-3.335871604
N618	XX	5.207107288	-3.53304424
N619	XX	5.237579653	-3.067989156
N620	XX	5.281920679	-2.114348557
N621	XX	5.227938258	-3.680568322
